name,ra,ra_hours,dec,min_mag,max_mag,mag_range,variability_type,period_days,variable_star_number,class
V536 Peg,339.97579,22.66505267,13.43728,13.2,12.6,0.6,DSCT,0.0645804,620536,STAR
kap 2 Boo,213.37088,14.22472533,51.78997,4.58,4.5,0.08,DSCTC,0.06479,99010,STAR A8IV
V1009 Cep,332.17175,22.14478333,54.55508,11.17,11.11,0.06,DSCTC,0.06501,201009,STAR A3III
V1557 Her,250.41162,16.694108,36.43919,17.35,16.82,0.53,SXPHE,0.0652553,401557,STAR
V2933 Cyg,306.2695,20.41796667,50.44944,14.04,14.01,0.03,DSCTC,0.06543,312933,STAR
V541 Ser,276.16733,18.41115533,6.16789,12.46,12.5,0.04,DSCTC:,0.06559,760541,STAR
OU Com,200.32654,13.35510267,18.13944,16.8,15.5,1.3,SXPHE,0.0656853,250308,STAR
V3021 Cyg,308.21771,20.54784733,50.90747,12.64,12.63,0.01,DSCTC,0.06599,313021,STAR
V3708 Oph,270.58921,18.03928067,11.02828,12.25,12.13,0.12,DSCT,0.066005,593708,STAR
V858 Lac,343.46975,22.89798333,51.95239,12.68,12.66,0.02,DSCTC,0.066441,450858,STAR
V723 Lyr,290.98937,19.39929133,38.11442,8.21,8.17,0.04,DSCTC,0.0664549,520723,STAR F2III
BS Tri,32.37425,2.158283333,28.5415,21.5,17,4.5,E+XM:,0.06685,800096,X-RAY BINARY
V1058 Cas,12.99233,0.866155333,53.86133,13.98,14.02,0.04,DSCTC,0.06695,181058,STAR A0
rho Tau,68.46217,4.564144667,14.84442,4.89,4.9,0.01,DSCTC,0.067,789017,STAR A8V
V2807 Oph,276.88921,18.45928067,6.93322,10.69,10.7,0.01,DSCTC:,0.06734,592807,STAR A8
BW Cnc,130.21867,8.681244667,20.26653,8.47,8.48,0.01,DSCTC,0.06738,120100,STAR F0V
UU Ari,37.66008,2.510672,19.85531,6.15,6.1,0.05,DSCTC,0.0676,70034,STAR A9V
NP Lyn,138.71817,9.247878,34.30961,13.28,12.9,0.38,DSCT,0.067751,510291,STAR
CU CVn,207.08383,13.80558867,31.40106,7.67,7.6,0.07,DSCTC,0.067834,130121,STAR F0
V497 UMa,206.34033,13.756022,54.19764,13.09,12.7,0.39,DSCT,0.06794351,830497,STAR
V3004 Cyg,307.82917,20.52194467,49.77719,11.52,11.49,0.03,DSCTC,0.06808,313004,STAR
HS Cam,109.81037,7.320691333,65.96239,15.4,19.4,4,EA+XM,0.068207,110219,ALGOL STAR
V772 Lac,341.8605,22.7907,50.55394,12.67,12.66,0.01,DSCTC,0.068477,450772,STAR
V1139 Her,237.61871,15.84124733,45.96433,12.95,12.65,0.3,SXPHE,0.068587,401139,STAR
AX Tri,22.95512,1.530341333,35.22331,15.1,14.5,0.6,SXPHE,0.068983,800077,STAR
V392 Gem,92.05513,6.137008667,24.3085,16.8,16.47,0.33,DSCT,0.0691,380392,STAR
GN And,7.53071,0.502047333,29.75156,5.18,5.23,0.05,DSCTC,0.069304115,10196,STAR A9IV
V2507 Cyg,294.512,19.63413333,46.28958,13.86,14,0.14,DSCT,0.07,312507,STAR
V465 Per,52.64162,3.509441333,47.62819,8.76,8.78,0.02,DSCTC,0.07,630465,STAR A6V
V2448 Cyg,320.87421,21.391614,46.37736,14.65,14.67,0.02,DSCTC,0.07,312448,STAR
BN Tri,28.74183,1.916122,29.79364,12.35,12.15,0.2,DSCT,0.070037,800091,STAR
V2779 Oph,272.14921,18.14328067,10.17494,18.5,16.1,2.4,E+NL,0.070037,592779,CV NOVA LIKE
V441 Com,198.26392,13.21759467,18.15692,19.1,18.5,0.6,SXPHE,0.07011,250441,STAR
V803 Aur,93.05792,6.203861333,31.80678,12.65,12.9,0.25,DSCT:,0.0705196,80803,STAR
V2960 Cyg,306.94429,20.46295267,51.36281,12.84,12.82,0.02,DSCTC,0.07053,312960,STAR
V447 UMa,144.34804,9.623202667,55.14681,13.12,12.75,0.37,DSCT,0.0707116,830447,STAR
V437 CVn,205.57529,13.70501933,28.37758,17.75,16.93,0.82,SXPHE,0.071629,130437,STAR
V1277 Cas,22.99121,1.532747333,59.50394,13.3,13.23,0.07,DSCTC,0.0717537,181277,STAR
V479 Vul,295.78771,19.71918067,23.29697,13.29,13.33,0.04,DSCTC,0.071853,880479,STAR
FM Vir,191.40442,12.76029467,7.67333,5.28,5.2,0.08,DSCTC,0.07188,860176,STAR F0IV
V490 Aqr,314.69454,20.979636,1.74789,12.4,12.08,0.32,DSCT,0.07239585,40490,STAR
V406 Com,198.22829,13.21521933,18.16042,18.79,18.3,0.49,SXPHE,0.07244,250406,STAR
V1119 Cas,23.24825,1.549883333,60.82722,14.07,13.98,0.09,DSCTC,0.0725,181119,STAR
V3080 Cyg,313.00763,20.86717533,34.49831,10.54,10.4,0.14,DSCT,0.07261619,313080,STAR
DY Peg,347.21329,23.14755267,17.21556,10.62,9.95,0.67,SXPHE(B),0.072926297,620147,STAR A3
V377 Cep,351.08633,23.40575533,86.41778,6.66,6.58,0.08,DSCTC,0.072967,200377,STAR F0
V668 Lyr,281.08946,18.73929733,28.10139,7.13,7.16,0.03,DSCTC,0.0732979,520668,STAR F0
V1040 Cas,7.95054,0.530036,57.02622,14.4,14.8,0.4,DSCT:,0.0733,181040,STAR
V2820 Oph,277.82804,18.52186933,7.09006,12.69,12.7,0.01,DSCTC:,0.07343,592820,STAR
V1118 Cas,23.22846,1.548564,60.71256,15.87,15.82,0.05,DSCTC,0.0736,181118,STAR
HT Cas,17.554,1.170266667,60.07675,20.12,10.7,9.42,UGSU+EA,0.073647203,180220,CV DWARF NOVA U GEM TYPE
V407 Cep,65.28075,4.35205,81.42844,8.15,8.06,0.09,DSCTC,0.0736646,200407,STAR A3
V794 Cep,18.49592,1.233061333,84.75725,12.46,12.5,0.04,DSCTC:,0.0738,200794,STAR
V3658 Oph,280.09675,18.67311667,10.04619,15.47,14.81,0.66,DSCT,0.074142,593658,STAR
V1392 Tau,66.52458,4.434972,1.44061,12.75,12.2,0.55,DSCT,0.0744301,781392,STAR
V776 Aur,90.37208,6.024805333,29.46272,13.03,12.99,0.04,DSCTC,0.074645,80776,STAR
V2863 Cyg,294.53383,19.63558867,46.58214,10.47,10.5,0.03,DSCTC,0.0748297,312863,STAR
V436 UMa,140.2605,9.3507,49.09831,9.48,9.26,0.22,DSCT,0.0748447,830436,STAR A2
V460 And,38.55942,2.570628,42.241,13.8,13.2,0.6,DSCT,0.0749808,10460,STAR F5
V2443 Cyg,320.83971,21.389314,46.38314,13.85,13.87,0.02,DSCTC,0.075,312443,STAR
V1656 Her,259.26617,17.28441133,43.13714,17.5,16.8,0.7,SXPHE,0.0750945,401656,STAR
tet 2 Tau,67.16558,4.477705333,15.87089,3.42,3.35,0.07,DSCTC+E:,0.07564,789008,STAR A7III
V2804 Oph,276.31162,18.42077467,6.56483,11.49,11.5,0.01,DSCTC:,0.07567,592804,STAR
KP Lyn,124.82329,8.321552667,41.98342,11,10.6,0.4,DSCT,0.07593393,510249,STAR
V479 Tau,58.61346,3.907564,5.17461,7.46,7.39,0.07,DSCTC,0.076,780479,STAR F1III
V799 Aur,91.25775,6.08385,55.16433,10.7,10.4,0.3,DSCT,0.07609773,80799,STAR
V697 Lac,340.82912,22.72194133,51.30897,13.2,13.15,0.05,DSCTC,0.076346,450697,STAR
VV Ari,27.78942,1.852628,20.51436,6.73,6.69,0.04,DSCTC,0.0764,70040,STAR F0III
V455 Com,198.33658,13.22243867,18.25981,18.7,18.1,0.6,SXPHE,0.07686,250455,STAR
V802 Lac,342.56408,22.83760533,51.11,12.4,12.39,0.01,DSCTC,0.076938,450802,STAR
V1061 Per,24.03762,1.602508,54.33247,15.74,15.66,0.08,DSCTC,0.07748,631061,STAR
V435 Cam,93.83708,6.255805333,82.13706,14.1,13.7,0.4,SXPHE,0.077493,110435,STAR
V408 Boo,221.87467,14.79164467,11.97747,13.72,13.41,0.31,DSCT,0.077775,90408,STAR
V2997 Cyg,307.67458,20.51163867,49.9575,11.66,11.65,0.01,DSCTC,0.07787,312997,STAR
PU UMa,135.26638,9.017758667,48.15328,21.2,16.2,5,UG+EA,0.0778805,830319,CV DWARF NOVA U GEM TYPE
V1462 Her,246.67958,16.44530533,23.49503,12.26,11.92,0.34,DSCT,0.0779339,401462,STAR
V791 And,17.34292,1.156194667,36.03822,14.35,14.09,0.26,DSCT,0.0779986,10791,STAR
V729 Vir,216.18071,14.41204733,4.64725,13.44,12.92,0.52,DSCT,0.07824385,860729,STAR
V3000 Cyg,307.75687,20.51712467,50.23742,11.74,11.73,0.01,DSCTC,0.07832,313000,STAR
V736 Lyr,278.62292,18.57486133,35.07339,12.68,12.57,0.11,DSCT,0.0784802,520736,STAR
V477 Vul,295.77817,19.71854467,23.27703,13.4,13.46,0.06,DSCTC,0.0785819,880477,STAR
FR Lyn,133.55838,8.903892,39.09422,20,18.8,1.2,XM,0.07865,510181,X-RAY BINARY
GP And,13.82563,0.921708667,23.16372,9.93,10.53,0.6,DSCT,0.078682762,10198,STAR A3
DQ Cep,314.45254,20.96350267,55.48767,7.39,7.32,0.07,DSCTC,0.0788686,200139,STAR F2II
V3363 Oph,271.40846,18.09389733,2.27428,15.5,15,0.5,DSCT,0.0790113,593363,STAR
V495 UMa,195.75679,13.05045267,60.02114,13.18,12.6,0.58,DSCT,0.0794713,830495,STAR
V620 Her,257.76317,17.18421133,24.23769,6.23,6.19,0.04,DSCTC,0.0797,400620,STAR A8V
AN UMa,166.10688,11.073792,45.05383,20.2,14.9,5.3,E+XRM,0.0797522,830067,X-RAY BINARY
RX Sex,156.53833,10.43588867,3.93253,6.68,6.7,0.02,DSCTC,0.0799,770016,STAR A3V
V834 Lac,343.18104,22.878736,50.54831,12.81,12.78,0.03,DSCTC,0.0799,450834,STAR
V746 Aur,89.23946,5.949297333,29.78533,13.58,13.53,0.05,DSCTC,0.079948,80746,STAR
V675 And,353.35046,23.55669733,48.76064,11.56,11.6,0.04,DSCTC:,0.08,10675,STAR
AG Psc,9.19712,0.613141333,15.23172,5.94,5.81,0.13,BCEP,0.08,660061,STAR B2IV
V2505 Cyg,294.38379,19.625586,46.32083,11.45,11.47,0.02,DSCTC:,0.08,312505,STAR
AS Tri,30.99258,2.066172,29.90492,8.16,8.25,0.09,DSCTC,0.08,800072,STAR F0
V879 Lac,343.78146,22.918764,48.99211,12.71,12.68,0.03,DSCTC,0.08002,450879,STAR
V2961 Cyg,306.95479,20.46365267,49.60003,12.08,12.06,0.02,DSCTC,0.08019,312961,STAR
V354 Dra,250.23821,16.68254733,53.68586,15.05,15.06,0.01,unique,0.0803,340354,WHITE DWARF D C
V973 Cep,313.12942,20.87529467,70.91119,12.6,12.2,0.4,DSCT,0.0806305,200973,STAR
V482 Peg,329.63633,21.97575533,21.82356,12.54,12.33,0.21,DSCT,0.080784,620482,STAR
V1237 Her,255.22208,17.01480533,40.06622,19.5,17.9,1.6,XM,0.0808017,401237,X-RAY BINARY
V2442 Cyg,320.82738,21.388492,46.35669,15.47,15.49,0.02,DSCTC,0.081,312442,STAR
DR Ari,34.12617,2.275078,21.29719,11.11,10.86,0.25,DSCT,0.0813436,70140,STAR
DG Leo,147.45871,9.830580667,21.17942,6.12,6.08,0.04,DSCTC,0.08184505,460130,STAR A8IV
PT Com,183.41992,12.22799467,17.24383,12.31,12.03,0.28,DSCT,0.0821125,250318,STAR
V468 UMa,155.39721,10.359814,40.52814,14.18,13.69,0.49,DSCT,0.0821588,830468,STAR
NT Cam,126.073,8.404866667,74.50706,13.5,13.1,0.4,DSCT,0.082417,110295,STAR
V690 Per,54.22646,3.615097333,40.92769,12.15,12.2,0.05,DSCTC:,0.083,630690,STAR
V2445 Cyg,320.84554,21.38970267,46.37364,18.09,18.16,0.07,DSCTC,0.083,312445,STAR
V1663 Her,259.29129,17.286086,43.12858,17.3,16.8,0.5,SXPHE,0.08301308,401663,STAR
DL UMa,144.17063,9.611375333,69.63661,7.494,7.55,0.056,DSCTC+E,0.0831,830134,STAR F0
V3012 Cyg,308.03158,20.53543867,50.74642,11.72,11.71,0.01,DSCTC,0.08317,313012,STAR
V2951 Oph,262.52688,17.501792,3.63883,20,16.5,3.5,XM,0.0834785,592951,X-RAY BINARY
V1416 Tau,89.83696,5.989130667,28.39281,14.76,14.64,0.12,DSCT,0.08349,781416,STAR
V546 Ser,277.01696,18.46779733,5.97031,10.29,10.3,0.01,DSCTC:,0.08375,760546,STAR F0
V3045 Cyg,308.70729,20.580486,49.88764,12.16,12.14,0.02,DSCTC,0.08397,313045,STAR
V741 Aur,88.84658,5.923105333,30.09078,13.12,13.07,0.05,DSCTC,0.084258,80741,STAR
LS Cet,36.12387,2.408258,8.20853,11.5,11.3,0.2,DSCT,0.0842987,210267,STAR
V1513 Her,269.03883,17.935922,43.01503,13.42,12.94,0.48,DSCT,0.084342,401513,STAR
V959 Oph,272.75946,18.183964,3.1795,13.1,12.4,0.7,DSCT,0.08446,590959,STAR
V877 Lac,343.75925,22.91728333,51.69481,13.18,13.14,0.04,DSCTC,0.08451,450877,STAR
V1189 Her,247.40229,16.493486,26.58881,19.58,18.95,0.63,NL:,0.0846,401189,CV NOVA LIKE
V1508 Her,268.26029,17.88401933,37.22039,12.75,12.8,0.05,DSCTC,0.084704,401508,STAR
GP Cnc,129.5405,8.636033333,7.22583,11.63,11.53,0.1,DSCTC,0.0849428,120198,STAR
V965 Cep,2.45571,0.163714,80.36144,14.01,13.76,0.25,DSCT,0.0850695,200965,STAR
V2450 Cyg,320.88979,21.39265267,46.36881,16.42,16.45,0.03,DSCTC,0.086,312450,STAR
AE UMa,144.2215,9.614766667,44.06678,11.52,10.86,0.66,SXPHE:,0.086017055,830059,STAR A9
V2013 Aql,302.89371,20.192914,7.85119,13.2,12.85,0.35,DSCT,0.0860769,52013,STAR
V572 Cam,180.82196,12.05479733,80.56186,11.9,11.5,0.4,DSCT,0.086337,110572,STAR
V878 Cas,0.22042,0.014694667,62.42078,16,15.6,0.4,DSCT,0.0865524,180878,STAR
V735 Cas,359.37887,23.95859133,56.66372,14.07,14.03,0.04,DSCTC,0.0866,180735,STAR
V1425 Tau,84.96767,5.664511333,20.01939,12.2,11.85,0.35,DSCT,0.0866005,781425,STAR
V417 Boo,235.40412,15.693608,51.99028,13.26,12.81,0.45,DSCT,0.0866494,90417,STAR
V2008 Aql,302.04979,20.13665267,10.84772,12.26,11.9,0.36,DSCT,0.0868642,52008,STAR
V872 Lac,343.61992,22.90799467,52.08725,14.83,14.77,0.06,DSCTC,0.0869,450872,STAR
KO Psc,17.60063,1.173375333,27.32089,12.7,12.3,0.4,DSCT,0.08697753,660248,STAR
V550 Aur,90.61012,6.040674667,49.86572,13.08,13.01,0.07,DSCTC,0.087,80550,STAR
EU Cnc,132.86317,8.857544667,11.78261,21,20.4,0.6,XM,0.0871,120164,X-RAY BINARY
V3423 Oph,272.05767,18.137178,7.68789,16.42,15.92,0.5,DSCT,0.087227,593423,STAR
LQ Lyn,131.54233,8.769488667,43.07528,14.62,14.44,0.18,DSCT,0.0873765,510265,STAR
V3124 Cyg,318.22371,21.214914,33.29286,10.69,10.47,0.22,DSCT,0.0878477,313124,STAR
V1276 Cyg,295.70463,19.713642,29.33175,6.53,6.5,0.03,DSCTC,0.088,311276,STAR F3III
V378 Sge,296.39358,19.759572,18.67494,12.77,12.8,0.03,DSCTC:,0.088,710378,STAR
KW Aur,78.85162,5.256774667,32.68761,5.08,4.95,0.13,DSCTC+ELL,0.088088,80256,STAR A9IV
DE CMi,122.49362,8.166241333,1.0205,7.9,7.96,0.06,DSCTC,0.088474,150128,STAR F0
V2608 Cyg,318.33225,21.22215,42.42408,16.72,16.64,0.08,DSCTC,0.088957,312608,STAR
BT CrB,239.23729,15.94915267,35.3935,20.4,18.9,1.5,EA,0.0892,270097,ALGOL STAR
V763 Lac,341.77975,22.78531667,50.021,13.03,12.99,0.04,DSCTC,0.089485,450763,STAR
V528 And,20.74921,1.383280667,36.47131,13.05,12.8,0.25,SXPHE,0.089613,10528,STAR
V743 Aur,88.99104,5.932736,28.84256,15.32,14.98,0.34,DSCT,0.089795,80743,STAR
V381 Sge,300.45279,20.030186,16.5125,7.77,7.81,0.04,DSCTC,0.0898874,710381,STAR F0
IQ Cam,66.52863,4.435242,54.47153,14.63,14.48,0.15,E,0.09017945,110234,STAR B0VI
V457 Peg,327.11425,21.80761667,22.61719,12.7,12.5,0.2,DSCT,0.090258,620457,STAR
V710 Aur,79.07771,5.271847333,38.91975,14.12,14.06,0.06,DSCTC,0.090465,80710,STAR
V469 UMa,155.42046,10.361364,50.29239,10.96,10.9,0.06,DSCTC,0.0907,830469,STAR
V377 Boo,230.58971,15.37264733,32.97925,12.3,11.9,0.4,DSCT,0.090709,90377,STAR
V611 Cam,108.55996,7.237330667,73.45822,14.3,13.9,0.4,DSCT,0.090844,110611,STAR
HU Leo,141.18529,9.412352667,8.03083,21.5,18.2,3.3,EA+AM:,0.0911411,460221,ALGOL STAR
V595 Cam,54.31188,3.620792,60.04481,16.6,16.1,0.5,DSCT,0.091289,110595,STAR
V398 UMa,177.17525,11.81168333,54.71881,12.1,11.7,0.4,DSCT,0.0913422,830398,STAR
V2712 Cyg,314.50642,20.96709467,35.15539,10.7,10.77,0.07,DSCTC,0.09208,312712,STAR
V2795 Oph,275.54242,18.36949467,6.389,12.89,12.9,0.01,DSCTC:,0.09225,592795,STAR
V594 Dra,305.28883,20.35258867,62.04886,12.48,12.05,0.43,DSCT,0.0922725,340594,STAR
V2711 Oph,256.34771,17.08984733,3.43861,7.26,7.31,0.05,DSCTC,0.0931015,592711,STAR F0IV
RV Ari,33.78108,2.252072,18.07444,10.86,11.61,0.75,DSCT,0.09312808,70014,STAR A0
V488 Gem,106.21837,7.081224667,10.45672,12.65,12.25,0.4,DSCT,0.093253,380488,STAR
V2455 Cyg,322.10233,21.47348867,46.67522,8.97,8.53,0.44,DSCT,0.0942075,312455,STAR F2
V849 Lac,343.37908,22.89193867,51.55992,12.74,12.72,0.02,DSCTC,0.094294,450849,STAR
QS Dra,230.39454,15.359636,61.48964,13.45,13,0.45,DSCT,0.0944226,340327,STAR
V524 And,16.44646,1.096430667,44.58436,12.75,12.35,0.4,SXPHE,0.094493,10524,STAR
V540 Ser,275.865,18.391,6.20131,12.76,12.8,0.04,DSCTC:,0.09452,760540,STAR
V1249 Cas,3.79396,0.252930667,60.35572,13.66,13.52,0.14,DSCT:,0.09468,181249,STAR
V1116 Her,247.56833,16.50455533,16.91833,11.45,11.16,0.29,DSCT,0.094681,401116,STAR
V407 Sge,298.89954,19.926636,20.97167,15.95,15.57,0.38,DSCT,0.094878,710407,STAR
AZ CMi,116.03179,7.735452667,2.40542,6.51,6.44,0.07,DSCTC,0.095205,150079,STAR F0V
V547 Lac,341.83921,22.78928067,39.15614,12.4,12.1,0.3,DSCT,0.095256,450547,STAR
V2702 Cyg,301.461,20.0974,30.98258,12.4,12.25,0.15,DSCT,0.0955,312702,STAR
V470 Cam,107.67529,7.178352667,66.92878,15.62,14.52,1.1,EA,0.095646609,110470,STAR B0VI
V2812 Oph,277.24183,18.48278867,7.47561,12.23,12,0.23,DSCT,0.09568,592812,STAR
V2917 Cyg,304.93733,20.32915533,58.48889,11.2,11,0.2,DSCT,0.0957838,312917,STAR
V548 Aur,90.522,6.0348,49.81983,15.42,15.32,0.1,DSCT,0.096,80548,STAR
V478 And,4.73279,0.315519333,22.66117,10.6,10.38,0.22,DSCT,0.096,10478,STAR
V778 Lac,341.90133,22.793422,49.08964,12.77,12.72,0.05,DSCTC,0.096296,450778,STAR
V515 Peg,334.39504,22.29300267,15.52592,11.33,11.24,0.09,DSCTC,0.096321,620515,STAR
V2987 Cyg,307.43904,20.495936,50.54839,10.74,10.73,0.01,DSCTC,0.09654,312987,STAR
YZ UMi,233.87596,15.59173067,85.6275,12.53,12.15,0.38,DSCT,0.096605,840053,STAR
V986 Per,41.15658,2.743772,48.06564,12.2,12.03,0.17,DSCT,0.0969,630986,STAR
V852 Lac,343.42121,22.89474733,51.79314,12.88,12.86,0.02,DSCTC,0.09699,450852,STAR
V2581 Cyg,317.89333,21.19288867,44.2,15.38,15.5,0.12,DSCT,0.09701,312581,STAR
V3583 Oph,275.12538,18.341692,3.80069,15.8,15.2,0.6,DSCT,0.097296,593583,STAR
V519 Vul,298.21104,19.880736,20.86164,16.26,15.79,0.47,DSCT,0.097301,880519,STAR
V542 Vul,298.77171,19.918114,21.29186,15.06,14.82,0.24,DSCT,0.097395,880542,STAR
V715 Lac,341.13042,22.742028,50.75667,13.14,13.12,0.02,DSCTC,0.097798,450715,STAR
V1889 Aql,302.912,20.19413333,16.10775,9.12,8.93,0.19,DSCTC,0.0980262,51889,STAR F0
V1535 Her,281.93246,18.79549733,23.22,11.41,11.18,0.23,DSCT,0.09811755,401535,STAR A5
V1883 Aql,300.30383,20.02025533,5.31936,17.66,16.93,0.73,DSCT,0.098432,51883,STAR
V2798 Oph,275.92696,18.39513067,6.4025,11.09,11.1,0.01,DSCTC:,0.09855,592798,STAR
V2855 Cyg,292.86304,19.52420267,46.96914,12.25,12.13,0.12,DSCT,0.0988147,312855,STAR
V824 Lac,342.941,22.86273333,52.56942,13.03,13.01,0.02,DSCTC,0.09883,450824,STAR
V1502 Her,264.25354,17.61690267,25.53633,13.3,12.75,0.55,DSCT,0.0991961,401502,STAR
V757 Peg,349.60867,23.30724467,17.96228,13.56,13.2,0.36,DSCT,0.0993375,620757,STAR A5
V376 Per,57.28383,3.818922,43.96308,5.91,5.77,0.14,DSCT,0.09937,630376,STAR A7III
V670 And,352.65521,23.51034733,46.40119,10.91,10.62,0.29,DSCT,0.09966,10670,STAR
V2694 Cyg,298.6645,19.91096667,32.93411,11,11.05,0.05,DSCTC,0.0997415,312694,STAR A0
GT CVn,202.51346,13.50089733,43.50358,14.03,13.62,0.41,DSCT,0.0998923,130202,STAR
V2754 Oph,267.90792,17.860528,8.73375,15.9,15.3,0.6,DSCT,0.0999541,592754,STAR
CN Dra,296.68613,19.77907533,68.438,6.2,6.29,0.09,DSCTC,0.1,340114,STAR F0III
V2446 Cyg,320.84888,21.38992533,46.38314,17.82,17.83,0.01,DSCTC:,0.1,312446,STAR
bet Cas,2.29454,0.152969333,59.14978,2.38,2.35,0.03,DSCTC,0.100137,189002,STAR F2III
V3424 Oph,272.06054,18.13736933,4.79997,15.35,14.7,0.65,DSCT:,0.100233,593424,STAR
CX Cnc,127.15325,8.476883333,24.14494,6.14,6.09,0.05,DSCTC,0.100245,120124,STAR F0V
V704 Peg,323.99542,21.59969467,6.07394,7.83,7.79,0.04,DSCTC,0.100702,620704,STAR F0
V1016 Cep,346.80371,23.12024733,71.67433,13.207,13.24,0.033,DSCTC,0.10073,201016,STAR
V819 And,359.89675,23.99311667,36.33381,11.77,11.74,0.03,DSCTC,0.100836,10819,STAR
V521 And,15.3605,1.024033333,38.05356,11.25,11.29,0.04,DSCTC,0.10096,10521,STAR F0
V1062 Cep,328.28625,21.88575,59.20031,12.6,12.56,0.04,DSCTC,0.1018073,201062,STAR
V593 Lyr,278.02679,18.53511933,40.59906,11.13,11.75,0.62,DSCT,0.102141,520593,STAR
V792 Aur,90.85825,6.057216667,29.10047,14.43,14.3,0.13,DSCT,0.1022,80792,STAR
BT Cnc,129.92775,8.66185,19.77847,6.59,6.66,0.07,DSCTC,0.102278,120097,STAR F0III
V2887 Cyg,299.76558,19.984372,38.34286,15.37,15.55,0.18,DSCT:,0.1027,312887,STAR
V1088 Cep,329.84683,21.98978867,59.41581,14.72,14.33,0.39,DSCT,0.1027306,201088,STAR
HR Cam,109.29058,7.286038667,74.01147,14.91,14.97,0.06,R,0.10306437,110218,WHITE DWARF D A
V3092 Cyg,314.68921,20.97928067,34.11322,12.57,12.23,0.34,DSCT,0.103076,313092,STAR
XX Psc,11.80679,0.787119333,19.57869,6.09,6.13,0.04,DSCTC:,0.104,660049,STAR F0V
V654 Aur,112.29462,7.486308,36.97739,20.7,19.5,1.2,XM,0.104,80654,X-RAY BINARY
V410 Boo,222.53175,14.83545,38.24881,13.5,13.29,0.21,DSCT,0.1040193,90410,STAR
YZ Boo,231.02917,15.40194467,36.86683,10.8,10.3,0.5,DSCT,0.104092,90053,STAR A6
V807 Aur,99.95342,6.663561333,46.95414,14.4,14.05,0.35,DSCT,0.1043815,80807,STAR
V3037 Cyg,308.57417,20.57161133,50.69356,10.97,10.96,0.01,DSCTC,0.10445,313037,STAR
V396 And,357.88933,23.85928867,47.48775,7.95,7.92,0.03,DSCTC,0.104731,10396,STAR F0
V738 Tau,55.80771,3.720514,24.086,16,14.9,1.1,DSCT:,0.105,780738,STAR
AP CrB,238.55167,15.90344467,27.36422,15.85,16.5,0.65,XM,0.105462,270069,WHITE DWARF
V643 Ser,234.00842,15.60056133,11.11631,13.05,12.6,0.45,DSCT,0.1055044,760643,STAR
V544 And,26.11654,1.741102667,37.98158,13.5,12.9,0.6,SXPHE,0.10694,10544,STAR
V1384 Tau,58.53029,3.902019333,7.98761,11.4,11,0.4,DSCT,0.1073918,781384,STAR
V465 Peg,327.968,21.86453333,17.74539,13.9,13.4,0.5,DSCT,0.1077213,620465,STAR
V586 Lac,342.76933,22.85128867,51.34467,13.33,13.18,0.15,DSCT,0.107815,450586,STAR
V3193 Oph,269.07446,17.93829733,6.37861,15.3,14.65,0.65,DSCT,0.107927,593193,STAR
V2441 Cyg,320.80871,21.38724733,46.41119,19.11,19.17,0.06,DSCTC,0.108,312441,STAR
V652 Her,252.01958,16.80130533,13.26181,10.61,10.5,0.11,unique,0.10800182,400652,STAR B1
V1084 Her,250.94042,16.72936133,34.04433,12.75,12.48,0.27,NL,0.1081,401084,CV NOVA LIKE
V1166 Her,245.00767,16.33384467,4.47794,13.3,12.5,0.8,DSCT,0.108157,401166,STAR
LT Vul,285.927,19.0618,21.26833,6.62,6.52,0.1,DSCT,0.109,880268,STAR F2III
V784 Cas,32.60629,2.173752667,59.97981,6.7,6.61,0.09,DSCTC,0.10921,180784,STAR F5II
V761 Peg,350.23521,23.349014,34.86414,13.32,12.95,0.37,DSCT,0.1092466,620761,STAR
V2684 Cyg,294.98304,19.665536,52.58606,11.2,10.9,0.3,DSCT,0.1092685,312684,STAR
V774 Lac,341.86617,22.791078,50.05867,12.12,12.09,0.03,DSCTC,0.109376,450774,STAR
V1045 Per,67.11117,4.474078,32.46956,13.77,13.69,0.08,DSCTC,0.10943,631045,STAR
BP Peg,323.30638,21.55375867,22.74008,12.28,11.69,0.59,DSCT(B),0.109543375,620093,STAR A0
V539 Aur,87.96046,5.864030667,32.54303,15.5,16.05,0.55,DSCT,0.109835,80539,STAR
V2506 Cyg,294.49483,19.63298867,46.23875,10.88,11.01,0.13,DSCT,0.11,312506,STAR
V1111 Cas,23.027,1.535133333,60.75744,17.01,16.97,0.04,DSCTC,0.11,181111,STAR
V588 Mon,99.77458,6.651638667,9.68428,9.72,9.66,0.06,DSCTC,0.11,550588,STAR A7III
V2818 Oph,277.74912,18.516608,7.19725,10.69,10.7,0.01,DSCTC:,0.11008,592818,STAR
V1090 Per,50.67708,3.378472,39.10961,12.3,11.6,0.7,DSCT,0.11010541,631090,STAR
V1828 Aql,305.00192,20.33346133,4.63236,13.93,13.13,0.8,EA,0.1103741,51828,ALGOL STAR
V607 Lac,343.22817,22.881878,52.58406,14.14,14.05,0.09,DSCTC,0.111003,450607,STAR
V2814 Oph,277.29233,18.48615533,6.73075,12.88,12.9,0.02,DSCTC:,0.11138,592814,STAR
V822 Cep,308.16825,20.54455,60.76147,17.74,17.52,0.22,DSCT:,0.11142,200822,STAR
V519 Gem,120.06467,8.004311333,28.34956,10.12,10.05,0.07,DSCTC:,0.11174,380519,STAR
