name,ra,ra_hours,dec,min_mag,max_mag,mag_range,variability_type,period_days,variable_star_number,class
CY Cnc,129.65775,8.64385,19.98975,8.1,8.14,0.04,DSCTC,0.0325,120125,STAR F0V
V2454 Cyg,320.94329,21.39621933,46.43336,17.35,17.41,0.06,DSCTC,0.033,312454,STAR
V466 Com,199.09929,13.273286,17.70031,19.58,19.32,0.26,SXPHE,0.03416,250466,STAR
V467 Com,199.10546,13.27369733,17.73011,19.69,19.37,0.32,SXPHE,0.035,250467,STAR
V461 Per,51.07992,3.405328,49.22125,8.97,8.98,0.01,DSCTC,0.035,630461,STAR F0V
UV Ari,41.23992,2.749328,12.44575,5.22,5.18,0.04,DSCTC,0.0355,70035,STAR A7III
V463 Com,199.07204,13.27146933,17.67469,19.6,19.47,0.13,SXPHE,0.0356,250463,STAR
V374 CVn,205.55075,13.70338333,28.32253,17.41,17.38,0.03,SXPHE,0.035789,130374,STAR
V696 Tau,65.15129,4.343419333,15.09544,5.28,5.22,0.06,DSCTC,0.036,780696,STAR A9IV
V2811 Oph,277.17875,18.47858333,6.85706,10.39,10.4,0.01,DSCTC:,0.03634,592811,STAR A5
V2803 Oph,276.26754,18.417836,6.43203,9.99,10,0.01,DSCTC:,0.03658,592803,STAR A1
V433 CVn,205.57246,13.70483067,28.22631,17.505,17.47,0.035,SXPHE,0.0366,130433,STAR
V469 Com,199.13433,13.275622,17.70261,19.3,19.2,0.1,SXPHE,0.03683,250469,STAR
LV UMa,143.19033,9.546022,49.63511,10.67,10.7,0.03,DSCTC:,0.037,830270,STAR
V459 Per,50.49425,3.366283333,49.21486,9.13,9.14,0.01,DSCTC,0.037,630459,STAR F0IV
V428 Com,198.248,13.21653333,18.18817,19.7,19.55,0.15,SXPHE,0.0379427,250428,STAR
V367 Com,198.17546,13.21169733,18.12764,19.85,19.65,0.2,SXPHE,0.03798,250367,STAR
HI Cnc,130.32667,8.688444667,19.261,7.91,7.92,0.01,DSCTC,0.0383,120210,STAR A7V
V381 Com,198.20279,13.21351933,18.15994,19.77,19.54,0.23,SXPHE,0.0384,250381,STAR
V1590 Her,251.71904,16.78126933,47.55639,20.8,20.2,0.6,SXPHE,0.0384563,401590,STAR
FL Cnc,131.06179,8.737452667,32.06264,6.97,7.03,0.06,DSCTC,0.03846,120175,STAR A2
V394 Com,198.21979,13.21465267,18.08281,19.1,18.9,0.2,SXPHE,0.038491,250394,STAR
V434 Boo,211.36704,14.091136,28.58028,19.35,19.25,0.1,SXPHE,0.0386109,90434,STAR
BN Cnc,130.1635,8.677566667,19.22831,7.77,7.8,0.03,DSCTC,0.038818,120091,STAR A9V
V402 CVn,205.55704,13.70380267,28.42503,18.05,18,0.05,SXPHE,0.038827,130402,STAR
BL Cam,56.83258,3.788838667,63.3785,12.32,12.92,0.6,SXPHE,0.03909844,110089,STAR
V464 Com,199.07433,13.271622,17.68111,19.46,19.37,0.09,SXPHE,0.03925,250464,STAR
V380 Com,198.20125,13.21341667,18.22183,19.69,19.5,0.19,SXPHE,0.03927,250380,STAR
V526 Cas,12.73917,0.849278,51.50803,6.37,6.34,0.03,DSCTC,0.0396,180526,STAR F5III
CN Boo,214.01725,14.26781667,18.91181,6.21,6.24,0.03,DSCTC:,0.04,90114,STAR A8
BR Cnc,129.41958,8.627972,19.51842,8.23,8.26,0.03,DSCTC,0.040035,120095,STAR F0V
V364 Com,198.16683,13.211122,18.14408,18.91,18.79,0.12,SXPHE,0.04007,250364,STAR
V425 CVn,205.56554,13.70436933,28.30469,18.1,17.9,0.2,SXPHE,0.0401,130425,STAR
V1580 Her,250.452,16.6968,36.43717,17.73,17.5,0.23,SXPHE,0.040505,401580,STAR
V627 Lac,343.80271,22.92018067,52.18889,12.27,12.24,0.03,DSCTC,0.04078,450627,STAR
V1093 Her,259.51617,17.301078,42.57031,13.95,13.97,0.02,unique,0.0408,401093,STAR B0VI
V378 Com,198.19979,13.21331933,18.16528,19.68,19.46,0.22,SXPHE,0.04105,250378,STAR
V370 Lyn,114.55729,7.637152667,38.89042,23.3,22.8,0.5,SXPHE,0.0411654,510370,STAR
eps Cep,333.75912,22.250608,57.04358,4.21,4.15,0.06,DSCTC,0.041242,209005,STAR F0IV
V446 Com,198.27071,13.21804733,18.14325,19.7,19.3,0.4,SXPHE,0.04149,250446,STAR
V2956 Cyg,306.93196,20.46213067,49.74333,11.36,11.34,0.02,DSCTC,0.04184,312956,STAR
V480 Tau,72.84358,4.856238667,18.83986,5.13,5.09,0.04,DSCTC,0.042,780480,STAR A7IV
V551 Ser,277.62079,18.50805267,5.81061,12.79,12.8,0.01,DSCTC:,0.04203,760551,STAR
PX UMa,138.93713,9.262475333,62.80875,10.06,10.01,0.05,DSCTC:,0.0422,830322,STAR A0
V448 Com,198.284,13.21893333,18.12731,19.6,19.3,0.3,SXPHE,0.04336,250448,STAR
V1062 Per,24.1085,1.607233333,54.07081,15.68,15.63,0.05,DSCTC,0.04352,631062,STAR
